epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall
1,0.7043494903124295,0.6530045213237885,0.7909176585438488,0.8676877175607989,0.40721932430188734,0.43754756642926124,0.2677646295300552,0.29319785991984026,0.3075733500440697,0.3520878397168652,0.7171071093161028,0.6241787489383451
2,0.6077728867530823,0.586732869186709,0.8825079949347527,0.9003481711110761,0.4997982930514839,0.487288988165317,0.34525649982330564,0.33817546562321726,0.4499476693652488,0.4355839036645428,0.6132364253421406,0.5867002553516819
3,0.5612964764401153,0.5448277496522472,0.8996405129904276,0.9034891436176915,0.5405898690223694,0.5353732575331965,0.3798236031453688,0.37956123895222144,0.5151869852791776,0.4503585407810827,0.623824961565353,0.6921324374214295
4,0.532924791941276,0.51312048108347,0.9060530190939432,0.9180477511498236,0.5467391376803209,0.5602545118139636,0.3909707021500383,0.40564436417433525,0.538539414713671,0.5223409915643353,0.6042936775055561,0.6299013918445956
5,0.5015104406482571,0.5083445089478646,0.9126179034893329,0.9012785880796371,0.5655060901746645,0.5448977678052841,0.4071151444708908,0.39093764751188215,0.5624167033276715,0.4494578951308804,0.6229671433076753,0.7340366465430106
6,0.481156363264545,0.4647511416865933,0.9202221461704799,0.9277124712544103,0.5963630578020117,0.5834278488351453,0.4358544238321074,0.42861326327247007,0.6161902422433371,0.5674230449141995,0.6226090225544605,0.6270411014556885
7,0.475624429000603,0.44957898509117866,0.9161284729674622,0.9260837185767389,0.5810033351510435,0.6124285401836518,0.42364356044557067,0.4586666178318762,0.5967269828031351,0.5569686000385592,0.6194815936979357,0.7126596147014249
8,0.4541750510970315,0.4408222235018207,0.9249039953881568,0.9251371814358619,0.6069028678831163,0.6156980895227001,0.44722162596472015,0.45994696790172207,0.627476752950595,0.5428863898400338,0.6259900590220651,0.7451432751071069
9,0.4483355686559782,0.4113458135435658,0.9222910954402044,0.9367425980106476,0.607817774945563,0.6562876730195938,0.4502358221254506,0.5047871186848609,0.626908231649425,0.6003970580716287,0.6335477914128985,0.7494339885250214
10,0.4260957670080793,0.4115190467526836,0.930448972261869,0.9423266995337701,0.6375043968577961,0.647262038723115,0.48015070518294534,0.4934967914896627,0.6680434915226895,0.6709917543395874,0.6502854752016591,0.6590066484866604
11,0.41974456477296224,0.39208843823402156,0.9319669702550867,0.9482879638671875,0.6404151081383883,0.6767298454238523,0.4850740101966229,0.5264923985927336,0.6736110956459255,0.7077269371478788,0.6431610892107199,0.665207407166881
12,0.42043877630443366,0.40610653113934303,0.9297372587434538,0.9321964633080267,0.6320239171222016,0.6343536386566777,0.4732520082494715,0.4816679555562235,0.674748339168318,0.5879373526380908,0.6345165568393666,0.7172446318211094
13,0.39927191426465797,0.389318480607002,0.9358157901973515,0.9350804974955897,0.6536068133600466,0.6506710686991292,0.49843570524519615,0.49601562321186066,0.6941622502201206,0.6016391905084733,0.6545880106124249,0.747084395539376
14,0.386501859832596,0.40272852778434753,0.9375525254469651,0.9321668071131552,0.6741224825382233,0.6363329358639256,0.5212220574145788,0.4851691429653475,0.6973822236388594,0.6000771527328799,0.6860537931814299,0.7135177254676819
15,0.3930140738631343,0.3562948271151512,0.9363630106160928,0.9502773900185862,0.6666247291224343,0.6791369376644012,0.5152449157539305,0.5306935627614299,0.6967266223260334,0.7367703433959715,0.6712046232852307,0.6501744716398178
16,0.38064496530281317,0.3750040531158447,0.9412698431329413,0.9500366949266003,0.684418036715015,0.659557101226622,0.5326165273621842,0.506992444396019,0.7239551883149933,0.75057850249352,0.6835660394076463,0.608834772340713
17,0.38598588502014075,0.3649955915827905,0.9369424254029661,0.9491388874669229,0.6663558722197355,0.6634644635262028,0.5114158398502475,0.5131892489810144,0.6992806730034588,0.7258995761794429,0.6674981980205892,0.6286696560921208
18,0.37773720559838053,0.36321306180569435,0.9402090638548464,0.949035890640751,0.6735371737689763,0.6691871545007152,0.5227502497670414,0.513832918097896,0.7244874152180912,0.7463369244529355,0.6630216610955668,0.6272428968260365
19,0.37250241473480894,0.3315256574461537,0.9400399595826536,0.9539542659636466,0.682871876182137,0.7283430291760352,0.5309361848202381,0.5854029597774628,0.7355582876192345,0.7183248400688171,0.6740105735076652,0.7545796392425415
20,0.355510481602543,0.34065809942060904,0.9419131855388264,0.953094482421875,0.6987947860916892,0.6935229157247851,0.5512569720273489,0.5471935228955361,0.7405840181387388,0.7599864698225453,0.697114708659413,0.6557970594975256
21,0.3541585622907995,0.34205350231739784,0.9444843334156078,0.9509041078629032,0.6994337311812809,0.7149489137434191,0.5509151269446363,0.5731018070251711,0.7472347905347635,0.6994777264133576,0.6926723843092447,0.7506609559059143
22,0.3520828418351792,0.3220936939600975,0.9446998428512405,0.9555062324770035,0.7044430031226232,0.7218779335098882,0.5576193876318879,0.5807188696438267,0.7557756743588291,0.727661479865351,0.697735051532368,0.7351038263690087
23,0.3464314366107459,0.3233329245159703,0.9454973241785071,0.9549138469080771,0.7056538344739558,0.7182261395838953,0.5572246175545913,0.5750090306805026,0.7449858267228682,0.7317678486147234,0.7020602707679455,0.7242178888090195
24,0.33291443642024154,0.3220249683626236,0.9474088228665866,0.9527071060672883,0.7196964991616679,0.7166204885129006,0.5733144417568877,0.5763815679857808,0.7615015657393487,0.7215983954168135,0.7117729164086856,0.7356370793234918
25,0.3383531165974481,0.3472731493173107,0.9462447533240685,0.9451655726278981,0.7111277744010255,0.7057298364177826,0.5648701220423311,0.5630477032353801,0.7696165760139843,0.6551997661590576,0.6891902003969465,0.7821463750254724
26,0.31707858662683885,0.3016060220618402,0.9518185709858988,0.9593852873771421,0.7419890722075662,0.740437199031153,0.5999415444803762,0.6039149251676375,0.7881601262878586,0.7872488316028349,0.7241583207806388,0.7129451603658737
27,0.3169543592484443,0.2862941906336815,0.9505650446965144,0.9614165521437122,0.7367500499054626,0.7436030237905441,0.5934438955980342,0.6021705144836057,0.7889684428880502,0.8500123062441426,0.7224906817242339,0.6770540668118384
28,0.30848497037704176,0.2849484211014163,0.9525190080915179,0.9621345766129032,0.7454273202917078,0.7582120972294961,0.6030556160015065,0.6229202391639832,0.7854687447076315,0.813357901188635,0.7348257922209226,0.7220301147430174
29,0.2957264726961052,0.2842212511647132,0.9559530321058336,0.9614180288007182,0.7591022411873053,0.7580302896038178,0.6255661753507761,0.6203429698944092,0.8080370357403388,0.8100119473472718,0.7370429469661398,0.7281707755980953
