epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall
1,0.6924545699423486,0.6599422568275083,0.8017112396575592,0.8618989759875882,0.4250939199393922,0.42623165778575406,0.2828929340364514,0.28660133553128087,0.3278960226983814,0.34090255993989205,0.7015569678374699,0.6182792657806028
2,0.5961198073167068,0.5828304088884785,0.8864242637550438,0.9023192621046497,0.5060403417427461,0.5031818999878822,0.35443807155876367,0.35131191161851727,0.46160727039307026,0.44581999100985065,0.6320981545435204,0.6048539016515978
3,0.5514811735886794,0.5222158143597264,0.9041859972607958,0.9154450201219128,0.5376524553521649,0.5474975310987041,0.38260343981968176,0.3918682873970078,0.5221846995281649,0.49964096445229744,0.6115076704012169,0.6287724731429931
4,0.520036131471068,0.5274447164227886,0.9091964554000687,0.9009539696478075,0.5516105389202034,0.538835289257188,0.3937327593237489,0.384802685269425,0.5458517829467963,0.4543564937287761,0.613441030894007,0.7037836880453171
5,0.4849919237933316,0.4853357970714569,0.9191828717242231,0.9224676316784274,0.5964879197078746,0.5811971248157562,0.4387225674076395,0.4287952686990461,0.596117275756794,0.5459051550396027,0.6418339577349987,0.6451130345944436
6,0.474764136495171,0.48558538671462764,0.9203808124248798,0.9370341147145917,0.5957571358143628,0.5643341805665724,0.43889314378355887,0.41389649361371994,0.6022253879806497,0.6737365477508114,0.6323003616634306,0.5106070358907023
7,0.46207482637939873,0.45325441033609454,0.9221679352141998,0.9245429500456779,0.5959918543205156,0.5885396503633068,0.43898700120357365,0.4339392579370929,0.6155542578998503,0.5651275703022557,0.6200185383741672,0.640020796368199
8,0.43196027783247143,0.4374669674904116,0.9284757677015367,0.9321658226751512,0.6305726622487162,0.6180579556572822,0.47558614930936266,0.465964003436027,0.6517870614489356,0.5829029285138653,0.6502178678145776,0.6993474479644529
9,0.4405531922539512,0.4258680978128987,0.9261064634218321,0.9259407289566532,0.6106862939976074,0.6166909471634896,0.45285248510785153,0.46300598450245395,0.6347637849522161,0.5613054551424519,0.6283654419930427,0.7200332581996918
10,0.42181829731542986,0.38704429759133246,0.9295518476884443,0.9376196092174899,0.6260341887290661,0.6591418654687943,0.47028873001153654,0.5105134527529439,0.6473149967553852,0.6336115017052619,0.6472745387108771,0.7121210338607911
11,0.40737285784312655,0.42062758534185346,0.9344559973412818,0.9275540997905116,0.6518600460264709,0.6221989335552338,0.4967858496603075,0.4682954804551217,0.6783835521111121,0.5682089299924912,0.6624420393299271,0.7164050705971257
12,0.4013841148916182,0.3696579856257285,0.9330129937811212,0.9455288302513861,0.6500098639792138,0.6650027805759061,0.49462589916292127,0.5163510898428578,0.6703242626818982,0.7006145177348968,0.6694327730398911,0.6550567073206748
13,0.38877285099946535,0.3689933736478129,0.9350840809581044,0.9425616110524824,0.6530366851078285,0.6783186918304812,0.49774393210044277,0.5302463880469722,0.7000306513938275,0.6351582119541783,0.6595559136553125,0.7497803789954032
14,0.3794596593131076,0.37979832003193514,0.9378767327947931,0.9431738084362399,0.670673131942749,0.6632076232664047,0.5184250975048149,0.5131880689051843,0.7063125273683569,0.6830676347017288,0.6714009920974354,0.660203851999775
15,0.38123629135744913,0.3654820572945379,0.9355276757544213,0.9412198220529864,0.6602067420115838,0.65301521747343,0.5081989668555312,0.5015156384437315,0.6834486855582876,0.6485108026573735,0.681626137141343,0.6820728932657549
16,0.3825796757425581,0.3412691883502468,0.9351049569936899,0.9519104496125252,0.6655912923288869,0.6953584888289052,0.5104550732361092,0.5479746980051841,0.7011591955855653,0.7519960691851955,0.6762253209784791,0.6648652524717392
17,0.36268884614928737,0.34592327908162146,0.9411790449540693,0.9453061011529738,0.6887797503680974,0.7018961800682929,0.5364215861965012,0.5603996351841958,0.7378825342262184,0.6686225004734532,0.6783258659499032,0.7644585822859118
18,0.3575062252335496,0.3350755057988628,0.9425496531056834,0.9540327748944682,0.6974062968741407,0.7094258675652165,0.5482521872599047,0.5707559475014287,0.7430171539167781,0.7363006414905671,0.6944080135979496,0.7073220812505291
19,0.33813035308004735,0.31809532402023194,0.9467601985721797,0.9550757869597404,0.7104371935129166,0.7263094479999235,0.5660997408104467,0.589738487716644,0.7479211191882144,0.7230602180765521,0.7050267379362505,0.7445413066494849
20,0.32930993968313865,0.33235624865178137,0.9468771127554086,0.9440639865013861,0.7248016458291274,0.707670513660677,0.5785646469710948,0.5633487936950499,0.7577219844519437,0.6473836076836432,0.7199148886151366,0.8043411941297592
21,0.31832739350559947,0.28784734395242506,0.9505999638484075,0.9590982006442162,0.7350447069812607,0.7534449398517609,0.5937651633233815,0.6179407690801928,0.7765072747901246,0.7637834712382285,0.7228936451477009,0.7567551107175888
22,0.32508438383484933,0.2995033778490559,0.9508945758526142,0.9576957456527218,0.7270411207125738,0.751998778312437,0.5849019831025993,0.6143359215028824,0.78705621944679,0.7484428594189305,0.6980850159466921,0.7709932692589299
23,0.32891601471455545,0.32222537600225015,0.9481191111134959,0.9519805908203125,0.7185464950053246,0.7196040499594903,0.5772459150015653,0.5746365343370745,0.7595088719339161,0.7169849074655964,0.7175326095177577,0.7385547228397862
24,0.32179537153506016,0.29641530782945696,0.9500002599024511,0.9567450246503276,0.7381060932363782,0.7438592305106502,0.5940941624589019,0.6044401824474335,0.7877112139057327,0.7266301772286815,0.7168409218499948,0.7841146761371244
25,0.30131076685674896,0.29211182603912966,0.9533592894837096,0.9649372716103831,0.7530943807009812,0.7560890201599367,0.6153528965436496,0.6179804186667165,0.7944518764922907,0.9023526330148021,0.7424369939080961,0.6620413545639284
26,0.3040163674197354,0.27658285993722176,0.9526498396318037,0.9619161544307586,0.745023209642578,0.7534540872420034,0.606532810153542,0.6165044019299168,0.7940648990673024,0.8294062672122833,0.7257914834625119,0.7075675033753918
27,0.3029070219823292,0.302104159708946,0.9530205359825721,0.9508884799095892,0.7483575681408683,0.7273775252603716,0.6106766979772966,0.5885872475562557,0.8075275339268067,0.6908147152393095,0.7238664653275039,0.7890768512602775
28,0.30101228595434965,0.2571298148362867,0.9541077666230254,0.965895006733556,0.7507787700537797,0.7737432420253754,0.612924276472448,0.645968611682615,0.803431802726054,0.8293689085591224,0.7271076519410689,0.7408793251360616
29,0.28941620280454444,0.25316226674664405,0.9562143179086539,0.9670024994880922,0.7632291238386553,0.7940161487748546,0.62985209105434,0.6695910624919399,0.8229350981476543,0.8042891198588956,0.7305064296329414,0.7943130981537604
30,0.2899361097223156,0.2696739661116754,0.9558684799697373,0.96383543937437,0.7590818116953085,0.7737934743204424,0.6243731183010143,0.6445261643778893,0.8050439819529817,0.7781859049873967,0.745296719637546,0.7847835498471414
