epoch,lr,loss,dice,val_loss,val_iou,val_dice,val_acc,val_prec,val_rec
0,0.0001,0.4878924098171172,0.45726230299708426,42959380295873.47,0.40432352751158346,0.5638496799466142,0.9272317033471483,0.6306543048008678,0.5624527927305399
1,9.997779521645793e-05,0.3585879021003598,0.5703919523278199,234472499353.45792,0.44946481426213136,0.6056977588130962,0.9123035075970944,0.6151450168595759,0.6433706697704571
2,9.991120277927223e-05,0.3078253020028599,0.6066916707551097,1789035354720.7349,0.4838521788892704,0.638319234806115,0.9403132410228743,0.684975081098532,0.6269161340458573
3,9.980028840713861e-05,0.2703736601550071,0.6185986514559613,6.969112871387713e+25,0.3060410004002986,0.44511407542047177,0.8599598237598745,0.6329333681330875,0.45832341778559266
4,9.964516155915153e-05,0.23820140493697808,0.6544644546409302,,0.43146210373150556,0.5844006058749922,0.9402449830974569,0.7594926258963852,0.4924953238062998
5,9.944597532678122e-05,0.21990922606382213,0.6613450880866104,198.6658977856481,0.3784506814138496,0.5255479343684454,0.9382812169184543,0.864807408645114,0.40677852890944993
6,9.920292628279102e-05,0.2002666934591825,0.6720190214865143,84298167105019.72,0.4643908987977395,0.6057956801299565,0.9452849873142297,0.7854887410237892,0.5294234300762704
7,9.891625428724366e-05,0.1819464536231072,0.6861919530707281,4.566101793046019e+23,0.4378178306258618,0.586755873527548,0.9344533146664502,0.654080411879451,0.5655205761189503
8,9.858624225078842e-05,0.17343392705575364,0.6933200345855223,41682709034.22591,0.478298523026323,0.6221274619544193,0.9472780856550435,0.8032868903019287,0.535298688890213
9,9.821321585546247e-05,0.1568427656884076,0.7232209922313222,2.228123046231725e+17,0.48353196993716374,0.6278023378836037,0.9477960298807094,0.8287292549878578,0.5266448268835555
10,9.779754323328194e-05,0.14921516448747915,0.7214865817725997,420504340730492.56,0.5026762417354509,0.6471099691815589,0.9512484584072731,0.8869780754766511,0.5341918195018194
11,9.733963460294018e-05,0.14239430604655234,0.7230873528713496,1481591885317513.2,0.46102021786696323,0.6093921016083947,0.9473841114955756,0.8869068174691204,0.48844185921527844
12,9.683994186497135e-05,0.1308561249590311,0.7584358937751249,262295.8062057442,0.5881580830649523,0.7231688773236671,0.9556120585618286,0.7658941186091175,0.7060867351652066
13,9.629895815577918e-05,0.11924266955647313,0.7732325527802593,2.557090075740916e+20,0.47485166110899873,0.6208965658368361,0.942315988101126,0.806217046382787,0.542405670607074
14,9.571721736097092e-05,0.11944099900419594,0.7656096594486046,560597727635.9865,0.5600740086287506,0.6975506933522736,0.9563048379098694,0.8632849958587169,0.6131584454798915
15,9.509529358847659e-05,0.10882903385113497,0.7886933616420354,222554934316244.06,0.561414635032651,0.6995997492604525,0.9492735548284851,0.7520720379649042,0.694394383554731
16,9.44338006019739e-05,0.10317060763596511,0.8037962863870456,45.71432795078774,0.6270254594473998,0.7514533377846768,0.9403434002193232,0.7846254305299128,0.7587519703534472
17,9.373339121517751e-05,0.09978008658060285,0.8001255840313396,2.5153877226891384e+16,0.5979732435872438,0.7303714689263384,0.9562810193123082,0.8146200438063826,0.6987044837173878
18,9.299475664759073e-05,0.09634233299703872,0.8073642779246185,8917496768303.652,0.6069449387927698,0.7394521645996439,0.9605004397617204,0.8645619496919374,0.6716398522158613
19,9.221862584235533e-05,0.09159756192296255,0.8093430564697163,7056308447700.951,0.5715213988902766,0.710763856625266,0.9524304011755937,0.8237933972422494,0.6672998820313091
20,9.140576474687269e-05,0.09238718975274289,0.8108058535569769,625.0896559197123,0.6515568741742138,0.7708417707779124,0.9658526771219837,0.8750971556633984,0.7131722877159804
21,9.055697555690611e-05,0.08162780246529423,0.8376498416456567,0.09103970047904224,0.6978744604532294,0.812179438151554,0.9698672686594993,0.9201310362540459,0.7474504184167329
22,8.967309592491056e-05,0.0846550955024899,0.8239276820213057,7.30614652684549,0.6266591494550517,0.7604580072255013,0.9607319543245874,0.8294013264647903,0.7187552516027449
23,8.875499813337073e-05,0.07823914591772635,0.8373402534769477,1.2261641817364746e+16,0.5987504002897063,0.7276309976690802,0.9598956017634709,0.8419773248381578,0.6695556267629125
24,8.780358823396356e-05,0.07349933784638273,0.8504866008555588,47558.69566466205,0.647611272309496,0.7697736150524702,0.9649939394900112,0.8867811937636704,0.7059008871824728
