epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall
1,0.6862080370793577,0.6283488485120958,0.8119827958404041,0.8953821332223953,0.42477358859337744,0.44006655918013665,0.28256093344238936,0.2939439113101652,0.3381429791572641,0.42131538016180836,0.6685030561734419,0.49279273902216264
2,0.5843823041583671,0.5828117785915252,0.8981114059198098,0.894148140184341,0.5299108912710284,0.4750404506921768,0.3727796102461756,0.3297395805918401,0.4965742639586574,0.43404270888816926,0.6286156976320705,0.5668788033147012
3,0.532753264317747,0.5428242529592207,0.9096150320084369,0.9166136710874496,0.5643379568565087,0.5012793531340938,0.4044611728826507,0.35445240055841787,0.5566741992704204,0.5485780080479961,0.6207652607413588,0.5120534899253999
4,0.5045014211877448,0.5112219279812228,0.9159304196717309,0.921723396547379,0.5722667328158363,0.5374144991078684,0.41460747467201264,0.38129251426266086,0.5878948347001779,0.565397371928538,0.601996200495079,0.5366483474931409
5,0.4880694541774812,0.499061050914949,0.9169250863497375,0.9140296040042755,0.5769219404605569,0.5165235320887258,0.4178986960991484,0.36515576091985547,0.5985150450810057,0.5229472075739214,0.6055450415024992,0.5481691920468884
6,0.4607495013319078,0.46247015268571917,0.9246723300120869,0.9331741736781213,0.6062877506750529,0.5626256941787658,0.4465480605598356,0.41596478812636867,0.6331677212089789,0.6681305596665028,0.6160951891883475,0.5108855549366244
7,0.43925524319781634,0.45431230385457316,0.9262361370149206,0.9290499129602986,0.6148802584312001,0.5590469147409162,0.45592107513888935,0.4102203477053873,0.6439956677008848,0.6272647851897825,0.6381978485427919,0.5222002517792487
8,0.42237911324520583,0.4758295940776025,0.9311099130599225,0.9111248543185573,0.6322434495707028,0.5507797110945948,0.47691077519147124,0.3983367525281445,0.6637431937651556,0.5147852796700693,0.6433709908704288,0.6318918745363912
9,0.40401297587840285,0.43641655964236103,0.9328557624191535,0.9310661227472367,0.6467011952009357,0.6077953483308515,0.4879709323410128,0.46281184039769635,0.6801632915119655,0.614612075349977,0.6574695701481866,0.634874360695962
10,0.4038951214952547,0.4296630106626018,0.9336558482686027,0.9368103608008354,0.6513414170409813,0.5986829505812737,0.4966030813387183,0.4515006960399689,0.682993546494695,0.6793264467870036,0.6591775573667933,0.5614001231808816
11,0.3902989750514265,0.4421254367597641,0.9363117530697682,0.9331899246861858,0.6629329023302578,0.5730746369208058,0.5085241242510373,0.42786610955672877,0.706083033783514,0.660057831195093,0.6608846380573804,0.5458779707551003
12,0.37598955619042035,0.4104996342812815,0.9387469369857038,0.9398934552746434,0.6649323246273838,0.6083275440239138,0.513092471927893,0.45818844966350064,0.7026659738822062,0.720258617593396,0.6728128395119651,0.5506463214274375
