epoch,lr,loss,dice,val_loss,val_iou,val_dice,val_acc,val_prec,val_rec
0,0.0001,0.9657025346990491,0.48078469564133447,0.8772864191512751,0.3986355333311106,0.562685215155456,0.8951265495319437,0.45867414444051063,0.7649671819058881
1,9.846666218300807e-05,0.8438635087404095,0.5797318213892508,0.794349568161538,0.43664041395556125,0.59829587973876,0.9049046351871477,0.49012489449834334,0.8095589648037151
2,9.397114317029975e-05,0.7703734738904922,0.631613058652781,0.7125498453776041,0.48048873011256354,0.6400739584347618,0.9170985441542302,0.5374222479994898,0.8315627929065744
3,8.681980515339464e-05,0.715080414150582,0.645096598471147,0.6447244519140662,0.5454612400150375,0.699716966600077,0.9467546278651272,0.7228421644942561,0.6954515184220432
4,7.75e-05,0.6554801820731554,0.6842169708264852,0.5970985860359378,0.5539563186250699,0.7059708865107099,0.9456412738360797,0.7057311734665735,0.7290703440647678
5,6.664685702961344e-05,0.6013657582587884,0.7180383774472376,0.5723537734853543,0.5467269505657543,0.6962922642779262,0.9402828061482129,0.6588898263766795,0.7738766649143793
6,5.5e-05,0.5672049969434738,0.7283891383584801,0.5273299333525867,0.5878995607785574,0.7294063094918072,0.953787399608859,0.7962127420828481,0.6927189235195624
7,4.335314297038657e-05,0.5239579877892478,0.7602151260103042,0.49185752480979855,0.6210318772966508,0.7586144252988958,0.9560415100812785,0.7531121527712208,0.7787693716466142
8,3.250000000000001e-05,0.4838488312041173,0.7837171150701969,0.43318106973074316,0.6674957466935846,0.792894978594909,0.9642911254550349,0.8127835345847769,0.7986375618034146
9,2.3180194846605367e-05,0.4528382420539856,0.8063401146764348,0.40468662177644127,0.693717918973464,0.812679190743574,0.9658723054107146,0.7956977560164046,0.8533294106370043
10,1.602885682970026e-05,0.4368216675080237,0.8157636168549535,0.4083625434375391,0.6991029190810898,0.8161945004134604,0.9674829829351328,0.8187916572460318,0.8330375973911972
11,1.1533337816991932e-05,0.4205045906490967,0.8209322848408969,0.392401581372672,0.7037799195134505,0.8195935240008572,0.9668535544403272,0.8002572518925815,0.858786104144457
