epoch,lr,loss,dice,val_loss,val_iou,val_dice,val_acc,val_prec,val_rec
0,0.0001,0.8792092323303222,0.5168192010419113,0.8660353362560272,0.3767519861753958,0.5371624865773833,0.8409665708187236,0.48632991689752847,0.6555756519076988
1,9.999013075636805e-05,0.7542053057388826,0.5855022013382241,0.7878890097141266,0.40088122248916136,0.5540845031369717,0.8747493602609918,0.6275021836360284,0.5327856990821008
2,9.996052735444863e-05,0.6770754364403812,0.621769283484263,0.7335833003123601,0.4096674442819566,0.5645861149476541,0.8881032307941203,0.7245935993123311,0.4957854070354207
3,9.991120277927221e-05,0.6100895933129571,0.6592203327671848,0.6334196726481119,0.4684750055278652,0.6228420990241763,0.8951294510451319,0.6988376162894583,0.599520965143656
4,9.98421786662277e-05,0.5586657081138003,0.6817303433433528,0.5933659474054972,0.4953280538700656,0.6427255069079384,0.905177533184887,0.7775509153506168,0.5816720569699609
5,9.97534852915723e-05,0.5023910009048201,0.7178202131001752,0.5582513968149821,0.5486664777122967,0.6908154602368181,0.9152952406139939,0.7898846069995404,0.655026054099906
6,9.964516155915151e-05,0.48475750156424263,0.7251749922870363,0.5270021672050158,0.5546820572193112,0.6922023707431205,0.9132721512404414,0.7828476210269625,0.6585580751345886
7,9.951725498333448e-05,0.44512939378619193,0.7425256167307845,0.4893547534942627,0.5921183176325375,0.7224651937362516,0.9223383020470081,0.819362178973026,0.6854684091819195
8,9.936982166817273e-05,0.42528757229447367,0.7612997864735294,0.45057805528243383,0.6053824928042194,0.734577035952199,0.9306940149376313,0.8975750517410882,0.6585724086286568
9,9.920292628279099e-05,0.40085177956656975,0.771682357128314,0.4592919548352559,0.5997773832756862,0.7294351482020919,0.9201612119319912,0.7705904099403559,0.7301751441775802
10,9.901664203302125e-05,0.3850776112215085,0.7764384367330992,0.44121206626296045,0.6084049009581227,0.7383097242777975,0.9259517528391079,0.8171470769863465,0.7120631603906321
11,9.88110506292922e-05,0.3781572791663083,0.7792118269186463,0.4252393995722135,0.622883829021604,0.752300866638783,0.9295760543256525,0.8086937311112288,0.7419235821790924
12,9.858624225078838e-05,0.3653826653957367,0.7897063415885396,0.47476737201213837,0.568663660781766,0.7148357971953484,0.8987511528861324,0.6333427349179691,0.8699263099069616
13,9.83423155058946e-05,0.33774502971632914,0.8027227087540935,0.38675141135851543,0.6342119368700051,0.7585477366032263,0.9334710580329724,0.8695304829116318,0.7016058637821939
14,9.8079377388943e-05,0.3458287283778191,0.7995390642125781,0.3906455457210541,0.6390521884154572,0.7645269520182342,0.9345402470339852,0.8353313861699678,0.744464620887922
15,9.77975432332819e-05,0.3262499461797151,0.8156781941722533,0.3714086314042409,0.6451966058500208,0.7677933736097869,0.936170902958464,0.8731979056826236,0.7188377518419881
16,9.749693666068664e-05,0.3284735750068318,0.8136613449162874,0.39552686735987663,0.6493372132301954,0.7700913439968823,0.9341390539097085,0.8553514997431554,0.7351530470881221
17,9.71776895271351e-05,0.31337067450989375,0.8202417212576023,0.354268621156613,0.6681733954491336,0.7913548168575695,0.9407102796764898,0.8521770447075834,0.7649164451685784
18,9.68399418649713e-05,0.31285366334698417,0.8256305808782435,0.3850701709588369,0.648313737179565,0.7699294857836008,0.9357321280018668,0.8532242391109748,0.740342517641423
19,9.648384182148251e-05,0.3087028497660702,0.8222595366813538,0.34855159049232803,0.6600175086420516,0.781468536836579,0.9410778469507954,0.8623608259973523,0.7553976199240632
20,9.610954559391702e-05,0.3066827676004984,0.8262853036332548,0.35080349644025166,0.6788918995539215,0.7970755744226724,0.9405853271482781,0.8508924520297323,0.7734736146423397
21,9.571721736097086e-05,0.29039722393182194,0.8374625063073845,0.3999272647003333,0.6489517445449137,0.7689789784979509,0.9373227719905817,0.8900500326775432,0.7208219292062582
22,9.530702921077356e-05,0.30488689494403926,0.8226767063463174,0.32929247890909513,0.6747072348625597,0.7889104163383792,0.9419765896265765,0.870476603022561,0.754007873740342
23,9.487916106540464e-05,0.29231586622243577,0.8356280150990579,0.35963356668750446,0.6627661419924075,0.7785351410719339,0.9410771122683589,0.9197283633269879,0.7037151178328928
24,9.443380060197383e-05,0.2686785124580969,0.8494258645693729,0.31592508355776466,0.6986817939970837,0.8120604829647743,0.9453421698674611,0.8629141901345729,0.7963505388332484
25,9.397114317029971e-05,0.26809269074689257,0.8449128062710715,0.29692488263050715,0.7107260035018047,0.8179364131500642,0.9483547069406669,0.8937153428456454,0.7775254204467921
26,9.349139170722277e-05,0.2737122021615505,0.8423301342565214,0.33704849779605867,0.6896430550597233,0.80160929341582,0.943920615867172,0.8744909788910449,0.76899157253791
27,9.299475664759065e-05,0.2585619308901104,0.8530664789613177,0.3223328580458959,0.6914366929361077,0.8078211342303707,0.9398299040616173,0.8109850682870005,0.8305154714281404
28,9.248145583195444e-05,0.27139037756079976,0.841525537813714,0.2964213140308857,0.7281712577770312,0.8347169562256195,0.9507963392468005,0.8633553591597735,0.8240547021570848
