epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall
1,0.6940257516536084,0.6324974163886039,0.8217803619720123,0.908966556672127,0.43118514660950547,0.4990613321142812,0.2877559633209155,0.347353532910347,0.33566726735987507,0.4848280260639806,0.7297466059962472,0.5459379784522518
2,0.5726641629423413,0.6297151763592997,0.914559081360534,0.8645675413070186,0.5750272483616085,0.4934226466763404,0.41438107863887325,0.3391943160564669,0.5452351575041865,0.3691996927222898,0.6789742809730571,0.789572536945343
3,0.5050970361782954,0.49766680886668546,0.9300138033353366,0.9285560115691154,0.6240962814171236,0.6232731428838545,0.46693081056678687,0.46811232836015765,0.6112731156440881,0.5681931693707744,0.6886643495533492,0.7192468018301071
4,0.44330155816706984,0.4296794927889301,0.9443877503112122,0.9379538259198589,0.689088354398916,0.6614740803357093,0.5338971347926738,0.5073844124713252,0.696126076218846,0.6426218329898773,0.7213915845195016,0.7150548869563688
5,0.41107351242840945,0.40971299669434946,0.9477401984916939,0.9448520291236139,0.7058707143251712,0.6886922640185202,0.5579106707821836,0.5372766717787711,0.7120566743088292,0.6606880311043032,0.7459286136941595,0.7445135520350549
6,0.37434451494898113,0.40761110186576843,0.9523290277837397,0.9351852170882686,0.7356571905560546,0.6550839370296847,0.5937141615610856,0.5057635730312716,0.7481431728535957,0.5903336958539102,0.7602534487352266,0.7683902815465005
7,0.3592996094580535,0.3606184918072916,0.9533366947383671,0.9549357506536669,0.7274311361732063,0.7124313923620409,0.5866353934282785,0.5684523957390939,0.7544896460987709,0.7502867228561833,0.7423865670686239,0.6966929156934062
8,0.3303916914449943,0.33432601344200874,0.9567841330727378,0.9553055301789315,0.7557367898605682,0.7381862257757494,0.6173584931171857,0.5997980631166889,0.770267570739264,0.722856629279352,0.7757137581542298,0.7731077430709716
9,0.30675582407595037,0.3260052555030392,0.9595409016032795,0.9505894568658644,0.7698899473135288,0.7253097190010932,0.6421305271131652,0.5831625091452752,0.7986213516566779,0.6715751607571879,0.7767474497412588,0.8154959505604159
10,0.2898634821176529,0.28039097882086234,0.9632405291546832,0.9619330129315776,0.782020893070724,0.7646698259538219,0.6526630072148292,0.629575514985669,0.8178471058279604,0.7902415385169368,0.7783553708385635,0.7576160584726641
11,0.25957312885221545,0.2779588742602256,0.9679358765319154,0.9626237192461568,0.8153801838775258,0.7697228558601872,0.6968016162678435,0.6373235871714931,0.8428184704466181,0.798209112498068,0.8088442968143211,0.7606844132946383
12,0.266923650935456,0.3011485972712117,0.9657958732856499,0.9602938006001134,0.8014435260505467,0.7364204275992609,0.677673245196814,0.5954796181571099,0.8349328660047971,0.8122013355455091,0.7986730697390797,0.6962561059382654
13,0.24586535973863288,0.29346651944421953,0.9691217862642728,0.9595517804545741,0.81894167471718,0.7625890056933126,0.7008762330144316,0.6296262577656777,0.8627668717405298,0.7497349823674848,0.7962872782251337,0.8018612861633301
