epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_dice,val_dice,train_iou,val_iou,train_precision,val_precision,train_recall,val_recall
1,0.9205338810826396,0.8238198334170926,0.8461799621582031,0.8882677631993448,0.45277864078653385,0.5061056046716629,0.30822568854501287,0.3528493123669778,0.35771410400559617,0.41467103314015175,0.7117574284119266,0.6967769649720961
2,0.7450906722755223,0.6988558115497712,0.9079539540049794,0.9258841237714214,0.5779058836646133,0.5930711328983307,0.4175132603108228,0.43928144295369426,0.5080034203909256,0.56744284927845,0.7405520559667231,0.6517501463813167
3,0.6493694752782255,0.6157322525978088,0.9297740223643544,0.9349459986532888,0.6366728183987377,0.6420998054165994,0.47825797557175814,0.48575019692220994,0.6026658458369119,0.5935513829031298,0.7124852354709919,0.7201093541037652
4,0.5622799750212785,0.5414879946939407,0.941598158616286,0.9314489056987147,0.6826253150190625,0.6496559208439242,0.5307096938838015,0.49603493896222883,0.6717473522319899,0.5869694405025051,0.7403067510861617,0.7800797320181324
5,0.5270804831614861,0.5356119044365422,0.9430637988415393,0.9400680295882686,0.6811296320878543,0.6576973392117408,0.5283236500326094,0.50344411932653,0.6827765835838003,0.6456691315097194,0.7235835595772817,0.7021021775660976
6,0.467792231630493,0.5200032341864801,0.9493173033326536,0.9445570668866557,0.720235233450984,0.6701465335584456,0.5719676977330512,0.5193274333592384,0.7183801846189813,0.6799987535322866,0.764654550906066,0.6995088857027792
7,0.4165470770427159,0.43432544796697553,0.9552663027585208,0.9523614452731225,0.7489598108516945,0.7216853624390017,0.6089650844479655,0.5792394698627533,0.7551995633722661,0.712671289520879,0.7733886448236612,0.7513558547342977
8,0.3895551814482762,0.4305805121698687,0.9582681341485663,0.9493463577762726,0.7656575939157507,0.7217082554294217,0.630581897693676,0.5761090843908249,0.7748527458080878,0.6793009235012916,0.7963842238698687,0.7956411876986104
9,0.3754325718670101,0.46758888229247064,0.959625244140625,0.9363694960071195,0.7735593901885734,0.6878292156803992,0.6402208552910731,0.5401383849882311,0.7918709310201498,0.5974552256445731,0.7861814053504022,0.8424500630747888
10,0.35546682480272357,0.40646426427748894,0.9604428469479739,0.9533911674253402,0.7718531201173972,0.7455535069588692,0.6396421921122205,0.6059546965745187,0.785112983250356,0.704136259132816,0.7918715385290293,0.8099150446153456
11,0.31912052451254247,0.33606962619289277,0.9653108617761633,0.9613840656895791,0.8062141858614408,0.7793428782493838,0.6838060473347758,0.6522181976226068,0.8158286786996402,0.7527424058606548,0.8207539843988942,0.8238840997219086
12,0.3017973031971481,0.3575576438057807,0.9680886740212912,0.9546976397114415,0.8196179676841904,0.7587624932489088,0.7022172327225025,0.6243265915301538,0.8299544574795189,0.6956121267810944,0.8290768570297367,0.8549530236951767
13,0.2652971207440554,0.3069477283185528,0.9714295523507255,0.9674409435641381,0.8348874554529295,0.7996532301748952,0.7232185729912349,0.6735041131896358,0.8443637224999103,0.8427978580997836,0.8427612686550224,0.768669193790805
14,0.2721116564103535,0.3948065451075954,0.9704127049708104,0.9512684729791456,0.8262538123916794,0.7219499513026206,0.7151072734332347,0.585210062323078,0.8430438868619583,0.6928585815814233,0.8270599101925944,0.7872268293173083
15,0.29594617181426874,0.3189433361253431,0.9676966405176854,0.961395755890877,0.8174114869191096,0.782283652213312,0.7003518306947016,0.6540990769863129,0.829119948895423,0.7458762036215875,0.8217781340027903,0.8448861183658722
16,0.25725124522552384,0.302909521325942,0.9722273271162432,0.9604644775390625,0.8412835565242138,0.7895876207659321,0.732098251253694,0.6676949512573981,0.8532054935182843,0.7425529091588913,0.845542487862346,0.8745948191611997
17,0.23972057231834956,0.277660931310346,0.9747756706489311,0.9691512815413936,0.8588128980699477,0.8208695150190785,0.7582020648233183,0.7048540182652012,0.8760724883158129,0.7932355182786142,0.852456774030413,0.8640966415405273
18,0.22026516914695174,0.2730494384323397,0.9769370529677842,0.9682195109705771,0.865822108237298,0.8186642373761823,0.7693025450130085,0.703696374931643,0.8691454837610434,0.8147535660574513,0.8733897562865373,0.8358258143548043
19,0.20080607073320136,0.3126489395095456,0.9788811652214973,0.962981931624874,0.8795557506791838,0.7961493038362072,0.7887521942893228,0.6743631036050858,0.8871985922802935,0.7774011954184501,0.8804829906631302,0.8376256189038677
20,0.19695357699970623,0.2664969837473285,0.9785458072201236,0.9704826108870968,0.8759246350644709,0.8222305082505749,0.7865725555917719,0.708475423436011,0.8804756511043716,0.8199280442730073,0.8834064877950228,0.8423709061837965
